epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,411.723,0.98897,1.72014,0.94474,0.97907,0.96078,0.97728,0.76329,0.76756,1.12184,0.86694,0.000664962,0.000664962,0.000664962
2,822.47,0.90547,0.98202,0.91566,0.97848,0.94853,0.98106,0.76907,0.80687,0.8482,0.87771,0.00128768,0.00128768,0.00128768
3,1241.7,0.88108,0.7742,0.9091,0.96757,0.97059,0.98468,0.77589,0.72087,0.68199,0.87197,0.00186641,0.00186641,0.00186641
4,1659.26,0.85333,0.66384,0.90574,0.97892,0.96814,0.98426,0.78556,0.75132,0.60691,0.86912,0.001802,0.001802,0.001802
5,2065.23,0.81821,0.59789,0.89345,0.97082,0.97847,0.98944,0.7924,0.74989,0.5151,0.86413,0.001736,0.001736,0.001736
6,2479.35,0.78542,0.5663,0.88152,0.97909,0.96569,0.98269,0.81883,0.6762,0.48733,0.84097,0.00167,0.00167,0.00167
7,2895.21,0.76733,0.52981,0.88081,0.97302,0.97245,0.98095,0.77221,0.73667,0.51133,0.8565,0.001604,0.001604,0.001604
8,9002.19,0.73832,0.4998,0.87227,0.98385,0.97304,0.98407,0.81074,0.66697,0.45103,0.84016,0.001538,0.001538,0.001538
9,9537.09,0.73934,0.48951,0.87218,0.97519,0.96356,0.9787,0.82313,0.65181,0.44626,0.83877,0.001472,0.001472,0.001472
