epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,516.242,0.98897,1.72014,0.94474,0.97907,0.96078,0.97728,0.76329,0.76756,1.12184,0.86694,0.000664962,0.000664962,0.000664962
2,1041.36,0.90547,0.98202,0.91566,0.97848,0.94853,0.98106,0.76907,0.80687,0.8482,0.87771,0.00128768,0.00128768,0.00128768
3,1562.17,0.88108,0.7742,0.9091,0.96757,0.97059,0.98468,0.77589,0.72087,0.68199,0.87197,0.00186641,0.00186641,0.00186641
4,2086.32,0.85333,0.66384,0.90574,0.97892,0.96814,0.98426,0.78556,0.75132,0.60691,0.86912,0.001802,0.001802,0.001802
